,outlier_value,outlier_title,origin_context,centroid,covariance,fit_context,new_centroid,new_covariance,score
2747,[183.999 -14.379],Surrendered,David S. Ware,[ 94.40391667 -12.23516667],"[[1110.16546558  -12.2184951 ]
 [ -12.2184951     4.42240814]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.6758225183318816
2748,[ 75.788 -13.034],Reflection,David S. Ware feat. Joe Morris_ William Parker_ Warren Smith,[ 86.981  -11.2175],"[[313.715837    -3.335165  ]
 [ -3.335165     1.16889492]]",Bobby Vinton,[ 95.03596078 -13.64717647],"[[1220.16203778   -3.18747426]
 [  -3.18747426    4.9939535 ]]",0.605960205356663
2749,[172.029 -12.84 ],Antidromic,David S. Ware / Matthew Shipp / William Parker / Susie Ibarra,[ 96.44633333 -12.06233333],"[[1.83465482e+03 9.89348478e+00]
 [9.89348478e+00 1.44797922e+00]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.3867388380135045
2750,[ 72.929 -17.484],The Moon's A Harsh Mistress,Rigmor Gustafsson,[ 98.50833333 -12.57616667],"[[814.66105322  28.17264622]
 [ 28.17264622   4.44610014]]",Rava - Galliano - Marcotulli..,[ 94.03   -17.1495],"[[1831.4908585    34.6158045 ]
 [  34.6158045     1.96304325]]",0.49625573417555935
2751,[160.413 -20.136],Body And Soul,Gary Burton,[110.12957143 -16.73077143],"[[682.28599387  16.17337253]
 [ 16.17337253  13.12597163]]",Charlie Haden / Don Cherry / Ed Blackwell,[138.13966667 -20.89333333],"[[2.09207376e+03 2.50413099e+01]
 [2.50413099e+01 1.32640922e+00]]",0.6867992135970679
2752,[167.207  -9.73 ],Leroy The Magician (LP Version),Gary Burton,[110.12957143 -16.73077143],"[[682.28599387  16.17337253]
 [ 16.17337253  13.12597163]]",The Radiators (From Space),[156.97907692  -9.41430769],"[[1311.23869061  -28.96367621]
 [ -28.96367621    1.78797475]]",0.2946155339991404
2753,[103.821 -21.239],Ishfahan,Gary Burton / Jay Leonhart / Terry Clarke / Joe Beck,[116.44681818 -16.61427273],"[[635.83190351   4.4029154 ]
 [  4.4029154    3.31445138]]",Evan Parker_ Barry Guy_ Lawrence Casserley,[110.948      -21.28483333],"[[3.43489696e+03 3.51755145e+01]
 [3.51755145e+01 2.08148147e+00]]",0.15162345647177608
2754,[177.47  -32.557],Children's Song 15,Gary Burton_ Chick Corea,[106.57228571 -25.109     ],"[[1229.84169463  -74.19694943]
 [ -74.19694943   14.509811  ]]",Yo-Yo Ma;Peter Serkin;Peter Lieberson;Emanuel Ax,[111.3475 -25.527 ],"[[1784.31961825 -134.9100515 ]
 [-134.9100515    11.3820295 ]]",2.4371428848751706
2755,[165.213 -20.105],Futures,Gary Burton / Chick Corea / Roy Haynes / Dave Holland / Pat Metheny,[166.404 -17.27 ],"[[507.7363198   4.8418954]
 [  4.8418954   2.4220798]]",Rabih Abou-Khalil_ Selim Kusur_ Glen Velez_ Setrak Sarkissian,[130.79033333 -20.821     ],"[[2.40118928e+03 4.97064937e+01]
 [4.97064937e+01 1.03436700e+00]]",0.7040181648978202
2756,[218.911 -15.696],Sweet Rain (Album Version),Gary Burton And Stephane Grapelli,[153.4995     -11.95866667],"[[ 5.30611194e+03 -4.41026545e+01]
 [-4.41026545e+01  4.81024222e+00]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.5132882107229506
2757,[213.882 -27.927],Coral,Gary Burton / Pat Metheny / Steve Swallow / Antonio Sánchez,[163.60742857 -18.92585714],"[[1498.93246724   -2.58943406]
 [  -2.58943406   20.39367512]]",Ralph Towner_ Gary Peacock,[135.554  -25.4392],"[[2506.352751    -52.0135148 ]
 [ -52.0135148     3.42675236]]",1.6627228466995445
2758,[100.712  -9.821],Allegro,Gary Burton - Polo Ortí Quartet - Orquesta Sinfónica de Tenerífe,[ 95.391 -11.081],"[[14.44736167  4.623032  ]
 [ 4.623032    6.346465  ]]",Lavender Diamond,[99.71058824 -9.90917647],"[[748.11524701  30.86701857]
 [ 30.86701857   6.37899503]]",0.04207784067691319
2759,[172.829 -18.03 ],Capriccio II - Opus 76,Gary Burton / Makoto Ozone,[121.85957143 -19.30771429],"[[815.29441924   5.79548012]
 [  5.79548012   2.84675092]]",Gary Burton / Chick Corea / Roy Haynes / Dave Holland / Pat Metheny,[166.404 -17.27 ],"[[507.7363198   4.8418954]
 [  4.8418954   2.4220798]]",0.604308376424029
2760,[171.887 -22.65 ],"Gabriel's Oboe (""The Mission"")",Chris Botti,[121.9523662 -15.3815493],"[[1737.31164329    7.9648312 ]
 [   7.9648312    18.65770052]]",Alva Noto + Ryuichi Sakamoto,[152.7665 -23.2155],"[[930.78935025  24.61749975]
 [ 24.61749975   2.02419575]]",0.6287943913565857
2761,[ 88.05  -33.817],Interlude,Chris Botti,[121.9523662 -15.3815493],"[[1737.31164329    7.9648312 ]
 [   7.9648312    18.65770052]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.10424259715907395
2762,[226.56   -9.228],When I See You,Chris Botti,[121.9523662 -15.3815493],"[[1737.31164329    7.9648312 ]
 [   7.9648312    18.65770052]]",Diskjokke,[143.502    -8.91625],"[[ 3.88597590e+03 -3.19305720e+01]
 [-3.19305720e+01  1.18276969e+00]]",1.3872953280580629
2763,[211.799 -15.128],It's Delovely,Stacey Kent,[109.84112245 -15.77128571],"[[1159.87604262   52.5214491 ]
 [  52.5214491    11.63526827]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.0826589769678638
2764,[138.929 -24.726],Bookends,Stacey Kent,[109.84112245 -15.77128571],"[[1159.87604262   52.5214491 ]
 [  52.5214491    11.63526827]]",Hank Jones_ Mads Vinding_ Billy Hart,[127.392125 -23.680625],"[[898.67705161 -50.45490067]
 [-50.45490067  11.75778748]]",0.4072141887545769
2765,[147.427 -30.407],Ode to C.P.,Eric Dolphy,[114.63396552 -16.71287931],"[[1545.22793376  -18.53240155]
 [ -18.53240155   24.69422121]]",Murray Perahia;Members of the English Chamber Orchestra,[130.19725 -29.9875 ],"[[228.08139169  15.82749012]
 [ 15.82749012   4.89504225]]",1.4101994688545991
2766,[225.285 -19.301],Feathers,Eric Dolphy,[114.63396552 -16.71287931],"[[1545.22793376  -18.53240155]
 [ -18.53240155   24.69422121]]",Charlie Haden / Don Cherry / Ed Blackwell,[138.13966667 -20.89333333],"[[2.09207376e+03 2.50413099e+01]
 [2.50413099e+01 1.32640922e+00]]",1.9808743493052283
2767,[117.35 -22.8 ],Left Alone,Eric Dolphy / Booker Little,[ 87.44       -19.34066667],"[[448.30120367 -51.26551333]
 [-51.26551333   6.20391122]]",Hank Jones_ Mads Vinding_ Billy Hart,[127.392125 -23.680625],"[[898.67705161 -50.45490067]
 [-50.45490067  11.75778748]]",0.3513699939136203
2768,[240.451 -11.162],Blues In The Night,Clare Teal,[114.80591837 -12.4762449 ],"[[1270.06833707   30.17331482]
 [  30.17331482    8.05669274]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.5973126177122712
2769,[158.271 -17.977],Madrugada,Clare Teal,[114.80591837 -12.4762449 ],"[[1270.06833707   30.17331482]
 [  30.17331482    8.05669274]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",0.439290677570566
2770,[195.586  -8.988],Best Excuse,Sticks & Stones,[153.83833333  -6.20761538],"[[1265.73663307   10.29083367]
 [  10.29083367    2.41624893]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.7305166924663132
2771,[97.91  -3.682],Sekai,Sticks & Stones,[153.83833333  -6.20761538],"[[1265.73663307   10.29083367]
 [  10.29083367    2.41624893]]",Kinesis,[117.81244  -4.00536],"[[726.56085221 -10.05544352]
 [-10.05544352   3.23075603]]",0.7388663768502342
2772,[ 38.491 -21.9  ],Sani,Tord Gustavsen_ Harald Johnson_ Jarle Vespestad,[106.87853846 -23.92215385],"[[1417.35168248   83.84974062]
 [  83.84974062   18.25671405]]",Evan Parker_ Barry Guy_ Lawrence Casserley,[110.948      -21.28483333],"[[3.43489696e+03 3.51755145e+01]
 [3.51755145e+01 2.08148147e+00]]",1.240073268116579
2773,[210.036 -21.651],IGN,Tord Gustavsen_ Harald Johnsen_ Jarle Vespestad,[118.01947826 -24.31      ],"[[1475.44634595  -12.33577948]
 [ -12.33577948   14.12361152]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",1.8385887086440023
2774,[151.181 -16.977],Filter,Elliot Sharp,[117.28266667 -15.25766667],"[[804.88283756  14.89315311]
 [ 14.89315311   2.32370289]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",0.1572662204307114
2775,[225.39  -11.498],Intrinsic Spin,Elliott Sharp,[122.67815789 -15.93331579],"[[2515.67478924   13.89166273]
 [  13.89166273   14.7874229 ]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.2968228981576366
2776,[144.501 -10.255],Autar 2,Elliott Sharp_ Einad Abu-Kaf_ Mohammed Sync,[121.745  -11.2865],"[[517.835537    23.472814  ]
 [ 23.472814     1.06399325]]",Raw Power,[147.24354545 -10.33909091],"[[1692.11303988    4.93190714]
 [   4.93190714    4.5233836 ]]",0.0795339276329857
2777,[132.715 -15.138],Haditha,Elliott Sharp`s Terraplane,[109.0315     -14.59966667],"[[134.63783725  -3.64842417]
 [ -3.64842417   5.58112222]]",Arlo Guthrie,[132.815375 -15.071   ],"[[766.16684523  11.84420781]
 [ 11.84420781  10.40000925]]",0.020794327013834053
2778,[ 26.339 -16.681],Realization (Matching Towards the Light),Kenny Garrett,[124.41406 -12.47798],"[[1287.42241846  -12.44681184]
 [ -12.44681184   11.11543702]]",Enrico Rava/Ran Blake,[ 92.33075 -19.005  ],"[[ 3.01989025e+03 -8.38512843e+01]
 [-8.38512843e+01  2.66150600e+00]]",1.47220605107377
2779,[214.419 -17.27 ],Countdown (Album Version),Kenny Garrett,[124.41406 -12.47798],"[[1287.42241846  -12.44681184]
 [ -12.44681184   11.11543702]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.4797431626293926
2780,[  0.   -11.61],Knowing Me_ Knowing You,The Bad Plus,[114.07831818 -12.90340909],"[[1864.70792631   38.62425956]
 [  38.62425956   19.51339856]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",2.177918052164146
2781,[ 67.782 -27.143],Labyrinth,The Bad Plus,[114.07831818 -12.90340909],"[[1864.70792631   38.62425956]
 [  38.62425956   19.51339856]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.3323812339529505
2782,[123.141 -18.308],Everybody Wants To Rule The World,Reid Anderson / Ethan Iverson / David King,[138.07385714 -11.851     ],"[[1173.53419627   61.82455686]
 [  61.82455686   12.01147071]]",Townes Van Zandt,[120.95237705 -17.94240984],"[[856.23925396  12.12504214]
 [ 12.12504214  11.44685905]]",0.13979764140371045
2783,[233.7   -15.546],Devilish Mary,Eugene Chadbourne,[124.85714286 -17.88271429],"[[1774.15376041   46.17559992]
 [  46.17559992   27.61373635]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.8326239201792471
2784,[221.426 -11.45 ],The Dust Blows Forward And The Dust Blows Back,Eugene Chadbourne and Jimmy Carl Black,[121.28325 -11.701  ],"[[1579.34846769  -40.68616608]
 [ -40.68616608   10.65844933]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.2010630765046009
2785,[160.53  -17.616],Moog-Ging (Grado_ Italy_ December 1978),Eugene Chadbourne / Andrea Centazzo,[ 86.65028571 -23.66485714],"[[1107.30429835   71.99510039]
 [  71.99510039    6.90772084]]",Gary Burton / Chick Corea / Roy Haynes / Dave Holland / Pat Metheny,[166.404 -17.27 ],"[[507.7363198   4.8418954]
 [  4.8418954   2.4220798]]",0.32148006524623474
2786,[225.575 -17.049],Calypso For Grandpa,Charlie Hunter,[119.76938095 -13.3607381 ],"[[1318.50797428   23.60389945]
 [  23.60389945   23.99696153]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.7339892135165607
2787,[ 88.418 -32.561],Sunday Morning,Charlie Hunter,[119.76938095 -13.3607381 ],"[[1318.50797428   23.60389945]
 [  23.60389945   23.99696153]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.5956074924041164
2788,[223.176 -14.988],Mean Streak,CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.5112422639009928
2789,[174.191 -10.114],Chattahoochie,The Nashville Riders,[151.062   -9.8645],"[[ 5.34950642e+02 -5.77068550e+00]
 [-5.77068550e+00  6.22512500e-02]]",Sick Things,[153.75633333 -10.09466667],"[[1.85825526e+03 4.16116256e+00]
 [4.16116256e+00 8.63429222e-01]]",0.47924370835421054
2790,[223.115 -22.16 ],Mais Que A Paixão,Egberto Gismonti,[114.69475676 -17.96436486],"[[2182.79948859   96.73596953]
 [  96.73596953   39.7346215 ]]",Ramblin' Jack Elliot,[131.76 -20.76],"[[ 1.78288441e+03 -3.27199833e+01]
 [-3.27199833e+01  7.01517667e-01]]",2.3319822047496896
2791,[213.689 -23.809],Lundu (azul),Egberto Gismonti,[114.69475676 -17.96436486],"[[2182.79948859   96.73596953]
 [  96.73596953   39.7346215 ]]",Charlie Haden / Paul Motian / Gonzalo Rubalcaba,[108.1828 -21.911 ],"[[2245.20944756  -20.3425008 ]
 [ -20.3425008     3.1788734 ]]",2.2922227904136685
2792,[241.928 -15.358],Agua E Vinho,Egberto Gismonti,[114.69475676 -17.96436486],"[[2182.79948859   96.73596953]
 [  96.73596953   39.7346215 ]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.934542408872623
2793,[121.462 -19.808],Frevo,Egberto Gismonti / Academia De Danças,[110.1345 -20.3885],"[[128.31225725   6.57561375]
 [  6.57561375   0.33698125]]",Alex de Grassi,[118.35960976 -19.45668293],"[[1600.8784289   -10.29357444]
 [ -10.29357444    4.64853922]]",0.1731325166525299
2794,[204.725 -12.113],Jack'S Blues,Steve Lacy,[103.649      -17.01733333],"[[1497.6633924    29.94809947]
 [  29.94809947    9.73601542]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.9210456609547207
2795,[ 72.233 -25.571],Flakes,Steve Lacy,[103.649      -17.01733333],"[[1497.6633924    29.94809947]
 [  29.94809947    9.73601542]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.1492359936009851
2796,[194.586 -18.335],Evidence,Steve Lacy / Don Cherry,[103.3798 -18.5536],"[[2.18703296e+03 6.69375508e+00]
 [6.69375508e+00 2.32196440e-01]]",Yellowman/The Paragons,[152.13975 -18.1675 ],"[[ 1.44023478e+03 -3.35507012e+00]
 [-3.35507012e+00  4.97622500e-02]]",1.1675706240037103
2797,[231.154 -22.919],Night (Album Version),Pat Metheny,[115.30585135 -18.68363514],"[[1414.36404037  -24.64531876]
 [ -24.64531876   31.65048531]]",Enrico Rava/Ran Blake,[ 92.33075 -19.005  ],"[[ 3.01989025e+03 -8.38512843e+01]
 [-8.38512843e+01  2.66150600e+00]]",2.5282873129528047
2798,[221.238 -18.242],Day Trip,Pat Metheny,[115.30585135 -18.68363514],"[[1414.36404037  -24.64531876]
 [ -24.64531876   31.65048531]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.7203686071825457
2799,[200.199 -23.149],Message To A Friend,Pat Metheny / Charlie Haden,[111.856      -23.58383333],"[[1594.44276967   10.4491195 ]
 [  10.4491195     5.26322247]]",Alva Noto + Ryuichi Sakamoto,[152.7665 -23.2155],"[[930.78935025  24.61749975]
 [ 24.61749975   2.02419575]]",1.856061896987368
2800,[ 86.76  -10.679],Beat 70,Pat Metheny Group,[126.27666667 -14.83933333],"[[844.04152722 -60.63792578]
 [-60.63792578  16.00466789]]",Anais Mitchell [feat. The Haden Triplets],[ 80.888      -10.62666667],"[[1052.10382167   33.655001  ]
 [  33.655001      7.72155056]]",0.2036005114342321
2801,[189.703 -14.77 ],Say the Brother's Name,Pat Metheny/Brad Mehldau,[132.03766667 -15.112     ],"[[1.75119575e+03 5.14320533e+00]
 [5.14320533e+00 3.09813667e-01]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.4628547019549907
2802,[176.677 -19.518],San Lorenzo,Pat Metheny_ Lyle Mays_ Mark Egan_ Dan Gottlieb,[139.287  -25.9965],"[[1398.012101    242.231115  ]
 [ 242.231115     41.97096325]]",Chick Corea / Béla Fleck,[132.43741667 -20.06775   ],"[[2158.20177708   52.77022381]
 [  52.77022381    2.94195702]]",1.0383468942301446
2803,[135.494 -25.112],Lonely Woman,Pat Metheny_ Charlie Haden_ Billy Higgins,[153.92116667 -20.829     ],"[[2108.96708847  -30.05179733]
 [ -30.05179733    7.57223233]]",Ralph Towner_ Gary Peacock,[135.554  -25.4392],"[[2506.352751    -52.0135148 ]
 [ -52.0135148     3.42675236]]",0.2127536275792767
2804,[120.418 -15.924],Kathelin Gray,Pat Metheny/Ornette Coleman,[109.74046154 -11.38607692],"[[1118.54536017   -8.41766958]
 [  -8.41766958    4.66303846]]",Mike Batt,[121.97816216 -16.2612973 ],"[[807.06799173   4.48573791]
 [  4.48573791  12.49066537]]",0.11232924861969093
2805,[164.889 -18.803],Watercolors,Pat Metheny_ Lyle Mays_ Eberhard Weber_ Dan Gottlieb,[119.687 -19.608],"[[2.0432208e+03 3.6387610e+01]
 [3.6387610e+01 6.4802600e-01]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",0.7485555225918588
2806,[156.321 -27.039],Viscount Grisnah,Motorpsycho,[131.18678947 -11.92663158],"[[463.22908264 -11.50854992]
 [-11.50854992  21.06513544]]",Ralph Towner_ Gary Peacock,[135.554  -25.4392],"[[2506.352751    -52.0135148 ]
 [ -52.0135148     3.42675236]]",0.8683755325592106
2807,[123.241 -11.625],Carry On Brother (Remastered LP Version),Les McCann & Eddie Harris,[120.811 -12.351],"[[5.904901 1.76418 ]
 [1.76418  0.527077]]",Uncle Tupelo,[123.86295181 -11.61346988],"[[793.95548391  -5.94809096]
 [ -5.94809096   8.20449284]]",0.022788857921036493
2808,[ 95.98  -23.383],Poco A Poco (Album Version),Fourplay,[111.73735897 -13.68112821],"[[872.50477982   4.11734251]
 [  4.11734251  12.07700439]]",Suzie LeBlanc with Les Voix humaines,[ 94.9524 -23.2936],"[[604.32877764  36.11617744]
 [ 36.11617744   2.90952764]]",0.17896121034667478
2809,[215.731 -23.539],Song For Somalia (Album Version),Fourplay,[111.73735897 -13.68112821],"[[872.50477982   4.11734251]
 [  4.11734251  12.07700439]]",Charlie Haden / Paul Motian / Gonzalo Rubalcaba,[108.1828 -21.911 ],"[[2245.20944756  -20.3425008 ]
 [ -20.3425008     3.1788734 ]]",2.3009410492355777
2810,[ 60.92 -21.76],Away In A Manger (Album Version),Fourplay,[111.73735897 -13.68112821],"[[872.50477982   4.11734251]
 [  4.11734251  12.07700439]]",Suzie Le Blanc/Teatro Lirico/Stephen Stubbs,[ 69.0692 -22.72  ],"[[436.03736316 -24.8564828 ]
 [-24.8564828    4.1170806 ]]",0.4931669304713054
2811,[118.335 -21.426],Over the Rainbow,Jane Monheit,[108.40840476 -13.33707143],"[[1597.71191762   23.11877867]
 [  23.11877867   10.27849792]]",Kate Wolf,[117.46256757 -21.54289189],"[[1085.7496666    23.81940264]
 [  23.81940264    9.38390402]]",0.042182477552939586
2812,[221.352 -15.214],I Ain't Gonna Let You Break My Heart,Jane Monheit,[108.40840476 -13.33707143],"[[1597.71191762   23.11877867]
 [  23.11877867   10.27849792]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.4113716007114814
2813,[ 37.687 -20.476],Synnja Vegga,Scorch Trio,[102.93716667 -11.94941667],"[[641.19510514  40.35500365]
 [ 40.35500365  16.60925741]]",Suzie Le Blanc/Teatro Lirico/Stephen Stubbs,[ 69.0692 -22.72  ],"[[436.03736316 -24.8564828 ]
 [-24.8564828    4.1170806 ]]",1.528171141375723
2814,[151.192 -36.497],Dance of the Blessed Spirits (Mélodie),Jean-Yves Thibaudet,[107.08363636 -25.03563636],"[[917.62286626  18.03936774]
 [ 18.03936774  21.18484735]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",2.1766024374388886
2815,[174.084 -20.429],Arrival To Netherfield,Jean-Yves Thibaudet,[107.08363636 -25.03563636],"[[917.62286626  18.03936774]
 [ 18.03936774  21.18484735]]",Charlie Haden / Don Cherry / Ed Blackwell,[138.13966667 -20.89333333],"[[2.09207376e+03 2.50413099e+01]
 [2.50413099e+01 1.32640922e+00]]",0.7865741423601076
2816,[119.757 -19.028],Rhapsody In Blue,Jean-Yves Thibaudet / Baltimore Symphony Orchestra / Marin Alsop,[ 94.5474 -19.2996],"[[231.92814764  -8.89740096]
 [ -8.89740096   4.93919204]]",Gary Burton / Makoto Ozone,[121.85957143 -19.30771429],"[[815.29441924   5.79548012]
 [  5.79548012   2.84675092]]",0.190708620544411
2817,[160.246 -19.852],1. Molto allegro con fuoco,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,[100.00316667 -24.06116667],"[[790.75048081  58.77803286]
 [ 58.77803286  24.57004281]]",Chick Corea / Béla Fleck,[132.43741667 -20.06775   ],"[[2158.20177708   52.77022381]
 [  52.77022381    2.94195702]]",0.6991260747254028
2818,[ 40.039 -22.186],Mrs Darcy,Eri Esittäjiä,[ 88.348      -24.37466667],"[[1449.08644167  -41.30328   ]
 [ -41.30328       2.86889789]]",Evan Parker_ Barry Guy_ Lawrence Casserley,[110.948      -21.28483333],"[[3.43489696e+03 3.51755145e+01]
 [3.51755145e+01 2.08148147e+00]]",1.2172179166450223
2819,[ 91.767 -23.152],Variation 18 (excerpt),Jean-Yves Thibaudet / The Cleveland Orchestra / Vladimir Ashkenazy,[ 74.3115 -24.8255],"[[304.69448125  29.21177925]
 [ 29.21177925   2.80060325]]",Charlie Haden / Paul Motian / Paul Bley,[ 89.5778 -23.013 ],"[[287.74926356 -21.1121964 ]
 [-21.1121964    5.9096566 ]]",0.12947073335039683
2820,[ 94.386 -33.395],Pavane pour une infante défunte (Pavane for a Dead Princess),London Symphony Orchestra,[ 83.10113793 -22.17165517],"[[786.71014995  45.90472071]
 [ 45.90472071  26.65879571]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.27985428544501323
2821,[251.838 -18.32 ],Giselle/No. 9 - Finale,London Symphony Orchestra;Michael Tilson Thomas,[132.5508 -17.97  ],"[[3759.77433556   26.377056  ]
 [  26.377056      6.9082086 ]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",2.354267716327042
2822,[ 67.439 -33.842],Romeo and Juliet Op. 64_ Act III: The Nurse,London Symphony Orchestra/André Previn,[108.20390909 -24.28345455],"[[2234.49749745 -107.67581931]
 [-107.67581931   33.21328998]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.7051810451665788
2823,[148.434 -19.624],"Symphony No. 4 in E-Flat Major_ ""Sinfonie Naïve"" (1845): III. Allegro vivace",London Symphony Orchestra and Sixten Ehrling,[110.1735 -24.549 ],"[[1463.86586125  188.4329625 ]
 [ 188.4329625    24.255626  ]]",Chick Corea / Béla Fleck,[132.43741667 -20.06775   ],"[[2158.20177708   52.77022381]
 [  52.77022381    2.94195702]]",0.3467604996716552
2824,[ 83.341 -33.126],10. Intermezzo: Dorabella (Allegretto),London Symphony Orchestra / Pierre Monteux,[102.8845  -25.43575],"[[176.90174325  41.93986687]
 [ 41.93986687  21.73019919]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.42480113888243987
2825,[119.477 -23.255],"Symphony No. 1 in D Major_ ""Titan"": IV. Stürmisch bewegt",London Symphony Orchestra and Harold Farberman,[ 81.737 -25.446],"[[1424.307601   82.68834 ]
 [  82.68834     4.800482]]",Pat Metheny / Charlie Haden,[111.856      -23.58383333],"[[1594.44276967   10.4491195 ]
 [  10.4491195     5.26322247]]",0.22671343957559129
2826,[176.33  -21.038],4. Allegro risoluto - Andantino - Allegro come prima,London Symphony Orchestra / Valery Gergiev,[101.5765 -22.6515],"[[1878.87293525   62.90493325]
 [  62.90493325   33.79442725]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.848429557621615
2827,[ 61.94  -36.179],Carnival of the Animals: XIII. The Swan,Barry Wordsworth_ London Symphony Orchestra (LSO)_ Camille Saint-Saëns,[ 95.19       -29.56233333],"[[558.974787   123.45189133]
 [123.45189133  51.09758056]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",1.2088021003813054
2828,[102.612 -40.121],Miroirs: Oiseaux tristes,Christopher O'Riley,[109.07904167 -28.079     ],"[[844.61743262  50.39940985]
 [ 50.39940985  29.36669258]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",2.528327614323576
